Day,Occurrence
2020-01-01,1070
2020-01-02,526
2020-01-03,593
2020-01-04,539
2020-01-05,505
2020-01-06,593
2020-01-07,538
2020-01-08,536
2020-01-09,572
2020-01-10,625
2020-01-11,546
2020-01-12,517
2020-01-13,559
2020-01-14,550
2020-01-15,618
2020-01-16,590
2020-01-17,638
2020-01-18,563
2020-01-19,575
2020-01-20,589
2020-01-21,593
2020-01-22,567
2020-01-23,588
2020-01-24,619
2020-01-25,595
2020-01-26,597
2020-01-27,590
2020-01-28,604
2020-01-29,589
2020-01-30,588
2020-01-31,658
2020-02-01,740
2020-02-02,664
2020-02-03,559
2020-02-04,551
2020-02-05,623
2020-02-06,533
2020-02-07,638
2020-02-08,607
2020-02-09,520
2020-02-10,619
2020-02-11,551
2020-02-12,564
2020-02-13,632
2020-02-14,646
2020-02-15,592
2020-02-16,551
2020-02-17,587
2020-02-18,565
2020-02-19,567
2020-02-20,578
2020-02-21,640
2020-02-22,602
2020-02-23,535
2020-02-24,572
2020-02-25,599
2020-02-26,603
2020-02-27,564
2020-02-28,649
2020-02-29,586
2020-03-01,774
2020-03-02,624
2020-03-03,575
2020-03-04,527
2020-03-05,570
2020-03-06,594
2020-03-07,517
2020-03-08,544
2020-03-09,524
2020-03-10,573
2020-03-11,596
2020-03-12,506
2020-03-13,540
2020-03-14,532
2020-03-15,581
2020-03-16,528
2020-03-17,475
2020-03-18,460
2020-03-19,428
2020-03-20,491
2020-03-21,426
2020-03-22,417
2020-03-23,493
2020-03-24,486
2020-03-25,501
2020-03-26,488
2020-03-27,529
2020-03-28,446
2020-03-29,421
2020-03-30,496
2020-03-31,474
2020-04-01,672
2020-04-02,476
2020-04-03,504
2020-04-04,474
2020-04-05,471
2020-04-06,497
2020-04-07,481
2020-04-08,438
2020-04-09,415
2020-04-10,544
2020-04-11,529
2020-04-12,466
2020-04-13,508
2020-04-14,512
2020-04-15,524
2020-04-16,542
2020-04-17,547
2020-04-18,520
2020-04-19,517
2020-04-20,575
2020-04-21,503
2020-04-22,518
2020-04-23,540
2020-04-24,557
2020-04-25,584
2020-04-26,538
2020-04-27,558
2020-04-28,595
2020-04-29,505
2020-04-30,541
2020-05-01,678
2020-05-02,522
2020-05-03,485
2020-05-04,565
2020-05-05,543
2020-05-06,548
2020-05-07,508
2020-05-08,534
2020-05-09,550
2020-05-10,535
2020-05-11,485
2020-05-12,504
2020-05-13,504
2020-05-14,516
2020-05-15,561
2020-05-16,568
2020-05-17,545
2020-05-18,542
2020-05-19,475
2020-05-20,570
2020-05-21,522
2020-05-22,565
2020-05-23,567
2020-05-24,518
2020-05-25,531
2020-05-26,509
2020-05-27,536
2020-05-28,528
2020-05-29,710
2020-05-30,912
2020-05-31,538
2020-06-01,840
2020-06-02,482
2020-06-03,487
2020-06-04,465
2020-06-05,552
2020-06-06,494
2020-06-07,481
2020-06-08,514
2020-06-09,507
2020-06-10,542
2020-06-11,568
2020-06-12,624
2020-06-13,549
2020-06-14,547
2020-06-15,618
2020-06-16,592
2020-06-17,545
2020-06-18,585
2020-06-19,587
2020-06-20,609
2020-06-21,592
2020-06-22,581
2020-06-23,543
2020-06-24,573
2020-06-25,641
2020-06-26,650
2020-06-27,542
2020-06-28,533
2020-06-29,594
2020-06-30,552
2020-07-01,690
2020-07-02,551
2020-07-03,647
2020-07-04,662
2020-07-05,564
2020-07-06,505
2020-07-07,539
2020-07-08,496
2020-07-09,476
2020-07-10,551
2020-07-11,551
2020-07-12,533
2020-07-13,601
2020-07-14,485
2020-07-15,558
2020-07-16,583
2020-07-17,566
2020-07-18,521
2020-07-19,554
2020-07-20,592
2020-07-21,558
2020-07-22,532
2020-07-23,508
2020-07-24,513
2020-07-25,525
2020-07-26,510
2020-07-27,549
2020-07-28,531
2020-07-29,532
2020-07-30,527
2020-07-31,567
2020-08-01,703
2020-08-02,525
2020-08-03,522
2020-08-04,534
2020-08-05,508
2020-08-06,546
2020-08-07,566
2020-08-08,541
2020-08-09,534
2020-08-10,479
2020-08-11,493
2020-08-12,480
2020-08-13,538
2020-08-14,580
2020-08-15,628
2020-08-16,510
2020-08-17,510
2020-08-18,511
2020-08-19,569
2020-08-20,541
2020-08-21,593
2020-08-22,581
2020-08-23,535
2020-08-24,525
2020-08-25,512
2020-08-26,519
2020-08-27,610
2020-08-28,602
2020-08-29,546
2020-08-30,485
2020-08-31,507
2020-09-01,647
2020-09-02,464
2020-09-03,503
2020-09-04,573
2020-09-05,544
2020-09-06,544
2020-09-07,508
2020-09-08,525
2020-09-09,506
2020-09-10,453
2020-09-11,541
2020-09-12,538
2020-09-13,489
2020-09-14,541
2020-09-15,554
2020-09-16,507
2020-09-17,498
2020-09-18,548
2020-09-19,501
2020-09-20,525
2020-09-21,478
2020-09-22,475
2020-09-23,531
2020-09-24,477
2020-09-25,512
2020-09-26,541
2020-09-27,548
2020-09-28,506
2020-09-29,448
2020-09-30,574
2020-10-01,723
2020-10-02,569
2020-10-03,542
2020-10-04,505
2020-10-05,525
2020-10-06,528
2020-10-07,496
2020-10-08,554
2020-10-09,580
2020-10-10,529
2020-10-11,495
2020-10-12,545
2020-10-13,508
2020-10-14,514
2020-10-15,560
2020-10-16,561
2020-10-17,530
2020-10-18,538
2020-10-19,507
2020-10-20,529
2020-10-21,487
2020-10-22,497
2020-10-23,571
2020-10-24,520
2020-10-25,491
2020-10-26,478
2020-10-27,526
2020-10-28,515
2020-10-29,465
2020-10-30,553
2020-10-31,523
2020-11-01,750
2020-11-02,551
2020-11-03,541
2020-11-04,518
2020-11-05,474
2020-11-06,502
2020-11-07,490
2020-11-08,493
2020-11-09,456
2020-11-10,445
2020-11-11,447
2020-11-12,487
2020-11-13,496
2020-11-14,543
2020-11-15,533
2020-11-16,520
2020-11-17,540
2020-11-18,521
2020-11-19,563
2020-11-20,584
2020-11-21,528
2020-11-22,481
2020-11-23,535
2020-11-24,487
2020-11-25,516
2020-11-26,483
2020-11-27,538
2020-11-28,520
2020-11-29,490
2020-11-30,513
2020-12-01,656
2020-12-02,547
2020-12-03,505
2020-12-04,513
2020-12-05,556
2020-12-06,500
2020-12-07,502
2020-12-08,491
2020-12-09,503
2020-12-10,493
2020-12-11,551
2020-12-12,487
2020-12-13,478
2020-12-14,521
2020-12-15,516
2020-12-16,473
2020-12-17,484
2020-12-18,525
2020-12-19,546
2020-12-20,540
2020-12-21,531
2020-12-22,559
2020-12-23,567
2020-12-24,503
2020-12-25,458
2020-12-26,460
2020-12-27,448
2020-12-28,468
2020-12-29,457
2020-12-30,511
2020-12-31,573
2021-01-01,872
2021-01-02,471
2021-01-03,463
2021-01-04,499
2021-01-05,509
2021-01-06,516
2021-01-07,497
2021-01-08,542
2021-01-09,494
2021-01-10,503
2021-01-11,524
2021-01-12,500
2021-01-13,525
2021-01-14,571
2021-01-15,626
2021-01-16,542
2021-01-17,525
2021-01-18,584
2021-01-19,529
2021-01-20,547
2021-01-21,546
2021-01-22,583
2021-01-23,489
2021-01-24,471
2021-01-25,507
2021-01-26,462
2021-01-27,483
2021-01-28,502
2021-01-29,520
2021-01-30,556
2021-01-31,511
2021-02-01,668
2021-02-02,546
2021-02-03,578
2021-02-04,491
2021-02-05,573
2021-02-06,557
2021-02-07,537
2021-02-08,534
2021-02-09,489
2021-02-10,491
2021-02-11,515
2021-02-12,541
2021-02-13,585
2021-02-14,539
2021-02-15,547
2021-02-16,570
2021-02-17,533
2021-02-18,540
2021-02-19,542
2021-02-20,569
2021-02-21,555
2021-02-22,540
2021-02-23,541
2021-02-24,531
2021-02-25,541
2021-02-26,618
2021-02-27,577
2021-02-28,539
2021-03-01,704
2021-03-02,516
2021-03-03,485
2021-03-04,509
2021-03-05,532
2021-03-06,577
2021-03-07,507
2021-03-08,474
2021-03-09,493
2021-03-10,535
2021-03-11,470
2021-03-12,537
2021-03-13,567
2021-03-14,445
2021-03-15,492
2021-03-16,510
2021-03-17,495
2021-03-18,546
2021-03-19,557
2021-03-20,548
2021-03-21,557
2021-03-22,495
2021-03-23,510
2021-03-24,554
2021-03-25,501
2021-03-26,566
2021-03-27,513
2021-03-28,515
2021-03-29,568
2021-03-30,496
2021-03-31,504
2021-04-01,669
2021-04-02,554
2021-04-03,532
2021-04-04,526
2021-04-05,539
2021-04-06,494
2021-04-07,486
2021-04-08,519
2021-04-09,521
2021-04-10,570
2021-04-11,489
